NAMEFULL,0
"Wells Fargo Bank, National Association",6.66138822908419
"JPMorgan Chase Bank, National Association",5.9952494061757715
"Bank of America, National Association",5.377672209026128
U.S. Bank National Association,3.4183161784111906
"PNC Bank, National Association",2.9780944840327264
Branch Banking and Trust Company,1.9456320929005015
Regions Bank,1.7661652150963314
SunTrust Bank,1.5983108999736078
Fifth Third Bank,1.4230667722354182
"TD Bank, National Association",1.401953021905516
KeyBank National Association,1.0831353919239906
"Citibank, National Association",1.0113486408023227
"Capital One, National Association",0.934283452098179
"Citizens Bank, National Association",0.9121140142517815
Woodforest National Bank,0.8054895750857747
